 ;Variables en supervision;;;;;;;;;;;;;;;Tests Variables Supervision J-10;;;;;;Tests Variables Supervision Migration SEMERU;;;;;;Recettes Variables Supervision MOE/Client;;;;;;;Tests Variables IHM;;;;;;Tests Variables Archivage;;;;;;Description Variables en supervision;;;;;;;;;;;;;;;;;;;;;   ;"DOUBLON A VERIFIER
13;MN_;DC1;G;TB;_M_;STH___;SHY_____;NV0R712_;HY;TM;P01;;MN_.DC1.G.TB._M_.STH___.SHY_____.NV0R712_.HY.TM.P01;51;MES HYGROMETRIE AMBIANTE SONDE STH R712;OK;08/06/2026;WMA;Déjà en production;;;;;;;;;OK;08/07/2026;WMA/DAL/HERY/JB;;;;;;;;;;;;;;;;;TM;;;;;;;%;;0 / 100;;;;;#,##u;;;;;;;;1;1;1;;;;;;"R708
1109B";"SWI-MN-R708
SWI-MN-1109B";"API-R708-CFO
API-1109B-CFO";%MW39541;;;;;;R608B;SWI-MN-R608B;;;;;;; ; ; ; ;;MOX-MN-R608B;"4
0 / 203";;;;R712;Sonde RTU;%MW3;;;;;;;Connecteur DB9;Marron;Blanc;;LIYCY;XBUS 4;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;MN_;DC1;G;TB;_M_;STH___;________;NV0R712_;WD;TA;P01;;MN_.DC1.G.TB._M_.STH___.________.NV0R712_.WD.TA.P01;51;DEF COMMUNICATION SONDE STH R712;NT;08/06/2026;WMA;Non testable avec ModbusDoctor;;;;;;;;;OK;08/07/2026;WMA/DAL/HERY/JB;;;;;;;;;;;;;;;;;TA;NORMAL;DEFAUT;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;"R708
1109B";"SWI-MN-R708
SWI-MN-1109B";"API-R708-CFO
API-1109B-CFO";%MW786.2;;;;;;R608B;SWI-MN-R608B;;;;;;; ; ; ; ;;MOX-MN-R608B;"4
0 / 203";;;;R712;Sonde RTU;;;;;;;;Connecteur DB9;Marron;Blanc;;LIYCY;XBUS 4;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;MN_;DC1;G;TB;_M_;STH___;TTA_____;NV0R711_;BS;TM;P01;;MN_.DC1.G.TB._M_.STH___.TTA_____.NV0R711_.BS.TM.P01;51;MES TEMPERATURE AMBIANTE SONDE STH R711;OK;08/06/2026;WMA;Déjà en production;;;;;;;;;OK;08/07/2026;WMA/DAL/HERY/JB;;;;;;;;;;;;;;;;;TM;;;;;;;°C;;0 / 50;;;;;#,##u;;;;;;;;1;1;1;;;;;;"R708
1109B";"SWI-MN-R708
SWI-MN-1109B";"API-R708-CFO
API-1109B-CFO";%MW39542;;;;;;R608B;SWI-MN-R608B;;;;;;; ; ; ; ;;MOX-MN-R608B;"4
0 / 204";;;;R711;Sonde RTU;%MW1;;;;;;;Connecteur DB9;Marron;Blanc;;LIYCY;XBUS 4;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;MN_;DC1;G;TB;_M_;STH___;SHY_____;NV0R711_;HY;TM;P01;;MN_.DC1.G.TB._M_.STH___.SHY_____.NV0R711_.HY.TM.P01;51;MES HYGROMETRIE AMBIANTE SONDE STH R711;OK;08/06/2026;WMA;Déjà en production;;;;;;;;;OK;08/07/2026;WMA/DAL/HERY/JB;;;;;;;;;;;;;;;;;TM;;;;;;;%;;0 / 100;;;;;#,##u;;;;;;;;1;1;1;;;;;;"R708
1109B";"SWI-MN-R708
SWI-MN-1109B";"API-R708-CFO
API-1109B-CFO";%MW39543;;;;;;R608B;SWI-MN-R608B;;;;;;; ; ; ; ;;MOX-MN-R608B;"4
0 / 204";;;;R711;Sonde RTU;%MW3;;;;;;;Connecteur DB9;Marron;Blanc;;LIYCY;XBUS 4;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;MN_;DC1;G;TB;_M_;STH___;________;NV0R711_;WD;TA;P01;;MN_.DC1.G.TB._M_.STH___.________.NV0R711_.WD.TA.P01;51;DEF COMMUNICATION SONDE STH R711;NT;08/06/2026;WMA;Non testable avec ModbusDoctor;;;;;;;;;OK;08/07/2026;WMA/DAL/HERY/JB;;;;;;;;;;;;;;;;;TA;NORMAL;DEFAUT;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;"R708
1109B";"SWI-MN-R708
SWI-MN-1109B";"API-R708-CFO
API-1109B-CFO";%MW786.3;;;;;;R608B;SWI-MN-R608B;;;;;;; ; ; ; ;;MOX-MN-R608B;"4
0 / 204";;;;R711;Sonde RTU;;;;;;;;Connecteur DB9;Marron;Blanc;;LIYCY;XBUS 4;;;;;;;;;;;;;;;;;;;;;;;;;;;E
18;MN_;DC1;G;TB;_M_;STH___;TTA_____;NV0R726_;BS;TM;P01;;MN_.DC1.G.TB._M_.STH___.TTA_____.NV0R726_.BS.TM.P01;51;MES TEMPERATURE AMBIANTE SONDE STH R726;OK;08/06/2026;WMA;Déjà en production;;;;;;;;;OK;08/07/2026;WMA/DAL/HERY/JB;;;;;;;;;;;;;;;;;TM;;;;;;;°C;;0 / 50;;;;;#,##u;;;;;;;;1;1;1;;;;;;"R708
1109B";"SWI-MN-R708
SWI-MN-1109B";"API-R708-CFO
API-1109B-CFO";%MW39544;;;;;;R608B;SWI-MN-R608B;;;;;;; ; ; ; ;;MOX-MN-R608B;"4
0 / 205";;;;R726;Sonde RTU;%MW1;;;;;;;Connecteur DB9;Marron;Blanc;;LIYCY;XBUS 4;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;MN_;DC1;G;TB;_M_;STH___;SHY_____;NV0R726_;HY;TM;P01;;MN_.DC1.G.TB._M_.STH___.SHY_____.NV0R726_.HY.TM.P01;51;MES HYGROMETRIE AMBIANTE SONDE STH R726;OK;08/06/2026;WMA;Déjà en production;;;;;;;;;OK;08/07/2026;WMA/DAL/HERY/JB;;;;;;;;;;;;;;;;;TM;;;;;;;%;;0 / 100;;;;;#,##u;;;;;;;;1;1;1;;;;;;"R708
1109B";"SWI-MN-R708
SWI-MN-1109B";"API-R708-CFO
API-1109B-CFO";%MW39545;;;;;;R608B;SWI-MN-R608B;;;;;;; ; ; ; ;;MOX-MN-R608B;"4
0 / 205";;;;R726;Sonde RTU;%MW3;;;;;;;Connecteur DB9;Marron;Blanc;;LIYCY;XBUS 4;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;MN_;DC1;G;TB;_M_;STH___;________;NV0R726_;WD;TA;P01;;MN_.DC1.G.TB._M_.STH___.________.NV0R726_.WD.TA.P01;51;DEF COMMUNICATION SONDE STH R726;NT;08/06/2026;WMA;Non testable avec ModbusDoctor;;;;;;;;;OK;08/07/2026;WMA/DAL/HERY/JB;;;;;;;;;;;;;;;;;TA;NORMAL;DEFAUT;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;"R708
1109B";"SWI-MN-R708
SWI-MN-1109B";"API-R708-CFO
API-1109B-CFO";%MW786.4;;;;;;R608B;SWI-MN-R608B;;;;;;; ; ; ; ;;MOX-MN-R608B;"4
0 / 205";;;;R726;Sonde RTU;;;;;;;;Connecteur DB9;Marron;Blanc;;LIYCY;XBUS 4;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;MN_;DC1;G;TB;_M_;STH___;TTA_____;NV0R703_;BS;TM;P01;;MN_.DC1.G.TB._M_.STH___.TTA_____.NV0R703_.BS.TM.P01;51;MES TEMPERATURE AMBIANTE SONDE STH R703;NT;08/06/2026;WMA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TM;;;;;;;°C;;0 / 50;;;;;#,##u;;;;;;;;1;1;1;;;;;;"R708
1109B";"SWI-MN-R708
SWI-MN-1109B";"API-R708-CFO
API-1109B-CFO";%MW39600;;;;;;R703;SWI-MN-R703;;;;;;; ; ; ; ;;MOX-MN-R703;"3
-100 / 201";;;;R703;Sonde RTU;%MW1;;;;;;;Connecteur DB9;Marron;Blanc;;LIYCY;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;MN_;DC1;G;TB;_M_;STH___;SHY_____;NV0R703_;HY;TM;P01;;MN_.DC1.G.TB._M_.STH___.SHY_____.NV0R703_.HY.TM.P01;51;MES HYGROMETRIE AMBIANTE SONDE STH R703;NT;08/06/2026;WMA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TM;;;;;;;%;;0 / 100;;;;;#,##u;;;;;;;;1;1;1;;;;;;"R708
1109B";"SWI-MN-R708
SWI-MN-1109B";"API-R708-CFO
API-1109B-CFO";%MW39601;;;;;;R703;SWI-MN-R703;;;;;;; ; ; ; ;;MOX-MN-R703;"3
-100 / 201";;;;R703;Sonde RTU;%MW3;;;;;;;Connecteur DB9;Marron;Blanc;;LIYCY;;;;;;;;;;;;;;;;;;;;;;;;;;;;
